Title,Location,Price,LivingSpace,Rooms,Url,ScrapedAt
,Santa Teresa - Residencial Sunset em São Leopoldo,,,0,http://www.rodrigues.imb.br/empreendimento/residencial-sunset-santa-teresa-sao-leopoldo/9172709-ROQ1,2020-01-02T23:21:11Z
,Jardim América - Quartier Germain em São Leopoldo,,,0,http://www.rodrigues.imb.br/empreendimento/quartier-germain-jardim-america-sao-leopoldo/9172695-ROQ1,2020-01-02T23:21:12Z
,Centro - One Concept em São Leopoldo,,,0,http://www.rodrigues.imb.br/empreendimento/one-concept-centro-sao-leopoldo/11092842-ROQ1,2020-01-02T23:21:12Z
,Santa Teresa - Alta Vista em São Leopoldo,,,0,http://www.rodrigues.imb.br/empreendimento/alta-vista-santa-teresa-sao-leopoldo/9172672-ROQ1,2020-01-02T23:21:12Z
,Morro do Espelho - Residencial One em São Leopoldo,,,0,http://www.rodrigues.imb.br/empreendimento/residencial-one-kitnets-morro-do-espelho-sao-leopoldo/9573987-ROQ1,2020-01-02T23:21:13Z
,Fazenda São Borja - Residencial Manuela 1 em São Leopoldo,,,0,http://www.rodrigues.imb.br/empreendimento/residencial-manuela-1-fazenda-sao-borja-sao-leopoldo/9986392-ROQ1,2020-01-02T23:21:13Z
,Fazenda São Borja - Residencial Manuela 2 em São Leopoldo,,,0,http://www.rodrigues.imb.br/empreendimento/residencial-manuela-2-fazenda-sao-borja-sao-leopoldo/9985518-ROQ1,2020-01-02T23:21:13Z
,Feitoria - Residencial Verona em São Leopoldo,,,0,http://www.rodrigues.imb.br/empreendimento/residencial-verona-feitoria-sao-leopoldo-a-venda-a-partir-de-140069/9882358-ROQ1,2020-01-02T23:21:13Z
,Morro do Espelho - Las Rocas Condomínio Club em São Leopoldo,,,0,http://www.rodrigues.imb.br/empreendimento/las-rocas-condominio-club-morro-do-espelho-sao-leopoldo/11540065-ROQ1,2020-01-02T23:21:14Z
,Jardim América - Edifício Residencial Francisco em São Leopoldo,,"98,33a111,88",2,http://www.rodrigues.imb.br/empreendimento/edificio-residencial-francisco-apartamentos-jardim-america-sao-leopoldo/9745043-ROQ1,2020-01-02T23:21:14Z
,Centro - Lyon Residence em São Leopoldo,R$ 310.000,"72,76",2,http://www.rodrigues.imb.br/empreendimento/lyon-residence-apartamentos-centro-sao-leopoldo-a-venda-a-partir-de-310000/9172678-ROQ1,2020-01-02T23:21:14Z
,Morro do Espelho - Design Morro do Espelho em São Leopoldo,R$ 320.000,,0,http://www.rodrigues.imb.br/empreendimento/design-morro-do-espelho-morro-do-espelho-sao-leopoldo-a-venda-a-partir-de-320000/9172713-ROQ1,2020-01-02T23:21:14Z
,Centro - Life Place Theodomiro em São Leopoldo,R$ 380.000,"71,47",2,http://www.rodrigues.imb.br/empreendimento/life-place-theodomiro-apartamentos-centro-sao-leopoldo-a-venda-a-partir-de-380000/9066494-ROQ1,2020-01-02T23:21:16Z
,Centro - Residencial Alameda 50 em São Leopoldo,R$ 380.000,,0,http://www.rodrigues.imb.br/empreendimento/residencial-alameda-50-centro-sao-leopoldo-a-venda-a-partir-de-380000/9172711-ROQ1,2020-01-02T23:21:17Z
